,lread, lwrite, scall, sread, swrite, fork, exec, rchar, wchar, pgout, ppgout, pgfree, pgscan, atch, pgin, ppgin, pflt, vflt, runqsz, freemem, freeswap,usr
1553,0.0005420054200542005,0.0,0.1791828165374677,0.043298192771084335,0.012295834097999633,0.049701789264413515,0.07723304231027535,0.3397774911127463,0.022968404971876952,0.0,0.0,0.0,0.0,0.052935060024576985,0.005665722379603401,0.0027340145586275248,0.039119804400978,0.043083235638921455,0.001417434443656981,0.18860674908118943,0.7713443162289334,0.9191919191919192
1186,0.007588075880758808,0.0034782608695652175,0.2956233850129199,0.0626882530120482,0.04110846026793907,0.049701789264413515,0.020147750167897917,0.16255767660410922,0.051866398166793976,0.061394891944990176,0.05428881650380022,0.03518164435946462,0.037833468067906224,0.01134322714812364,0.1501416430594901,0.08133693311916886,0.11558124027561681,0.1201641266119578,0.0012048192771084338,0.008185766789174742,0.6817270978541672,0.8585858585858586
795,0.010298102981029811,0.019130434782608695,0.1258074935400517,0.020707831325301206,0.014681592952835382,0.1496023856858847,0.11098052384150436,0.03504156752907629,0.02602152628289702,0.014734774066797643,0.008686210640608035,0.0030592734225621415,0.0,0.0,0.09086402266288952,0.08219131266873995,0.26659257612802845,0.3553414419695194,0.0005315379163713678,0.029819579017707987,0.46614701863644775,0.8181818181818182
871,0.0005420054200542005,0.0,0.03334948320413437,0.026731927710843373,0.01284639383373096,0.009940357852882704,0.0033579583613163196,0.08589435201718196,0.12513186584264982,0.0,0.0,0.0,0.0,0.0,0.060906515580736544,0.05741430573117802,0.01733718604134252,0.02022274325908558,0.0009213323883770376,0.11944537253591714,0.7821967425780754,0.9393939393939394
7485,0.0005420054200542005,0.0017391304347826088,0.12346576227390181,0.020896084337349397,0.007524316388328133,0.009940357852882704,0.0033579583613163196,0.19976242602531458,0.0345214915630859,0.0,0.0,0.0,0.0,0.0,0.005665722379603401,0.0054680291172550495,0.01733718604134252,0.012456037514654163,0.00035435861091424523,0.695790177079853,0.8194469025069265,0.9595959595959596
7104,0.02981029810298103,0.12521739130434784,0.19573643410852712,0.02240210843373494,0.016700311983850247,0.019880715705765408,0.006715916722632639,0.006900807521935615,0.006961183251163114,0.0,0.0,0.0,0.0,0.0,0.0339943342776204,0.030074160144902773,0.042009335407868414,0.030627198124267292,0.0010630758327427356,0.05304042766455062,0.7320965502176593,0.9393939393939394
7664,0.02113821138211382,0.09739130434782609,0.06621447028423773,0.010918674698795181,0.00880895577170123,0.019880715705765408,0.0335795836131632,0.0015943818227805813,0.011696965488507743,0.004911591355599215,0.002171552660152009,0.0007648183556405354,0.0,0.0,0.00424929178470255,0.0027340145586275248,0.022671704823294066,0.03429073856975381,0.00017717930545712261,0.010608085532910124,0.44540998624723327,0.9595959595959596
2544,0.005420054200542005,0.0017391304347826088,0.3021640826873385,0.09092620481927711,0.07487612405946045,0.3876739562624254,0.036937541974479515,0.1469067686416603,0.0517258523713631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4323182929539898,0.40533411488862836,0.00035435861091424523,0.6825091881055797,0.8182419194136908,0.7272727272727273
1096,0.004878048780487805,0.0052173913043478265,0.12128552971576227,0.05139307228915663,0.024591668195999266,0.05964214711729622,0.0335795836131632,0.013287438780764979,0.011850288174432332,0.04174852652259332,0.02171552660152009,0.021797323135755258,0.017623282134195634,0.007562151432082428,0.13739376770538245,0.06835036396568811,0.07246054678817515,0.16676436107854634,0.00017717930545712261,0.01528566655529569,0.4357130597788412,0.898989898989899
1654,0.10298102981029811,0.3617391304347826,0.4171511627906977,0.07435993975903614,0.04698109744907322,0.10934393638170975,0.08059100067159167,0.29811575576192095,0.021715158669536837,0.0,0.0,0.0,0.0,0.0,0.13031161473087818,0.10457605686750282,0.11113580795732386,0.22464830011723333,0.00017717930545712261,0.04502171734046108,0.45026602799144966,0.8080808080808081
