lread, lwrite, scall, sread, swrite, fork, exec, rchar, wchar, pgout, ppgout, pgfree, pgscan, atch, pgin, ppgin, pflt, vflt, runqsz, freemem, freeswap
0.000542005420054,0,0.02890826873385,0.025602409638554,0.011011194714627,0.009940357852883,0.003357958361316,0.043917144394074,0.068133601833206,0.012278978388998,0.007600434310532,0.002676864244742,0,0,0.045325779036827,0.04169372201907,0.017337186041343,0.026377491207503,0.000850460666194,0.010106916137655,0.774011951756097
0.002168021680217,0.001739130434783,0.075823643410853,0.009600903614458,0.011561754450358,0.049701789264414,0.013431833445265,0.017561949531561,0.041049371571419,0,0,0,0,0,0,0,0.051567014892198,0.04088511137163,0.00049610205528,0.107500835282325,0.689378272411772
0.002168021680217,0.003478260869565,0.089551033591731,0.024284638554217,0.013029913745641,0.019880715705765,0.010073875083949,0.003091786598247,0.02105187139782,0,0,0,0,0,0.001416430594901,0.000683503639657,0.036374749944432,0.031733587338804,0.122608079376329,0.003341129301704,1.33738412123833E-06
0,0,0.053375322997416,0.037274096385542,0.008992475683612,0.009940357852883,0.003357958361316,0.514204366658737,0.168128879938893,0,0,0,0,0,0.014164305949009,0.01093605823451,0.017114914425428,0.016852286049238,0.000779588944011,0.289091212829936,0.807153667664504
0.000542005420054,0,0.17546834625323,0.074359939759036,0.03725454211782,0.009940357852883,0.003357958361316,0.004913767613704,0.02938018193181,0.0024557956778,0.001085776330076,0.00038240917782,0,0.00094526892901,0.004249291784703,0.002734014558628,0.021338075127806,0.027549824150059,0.000212615166549,0.015035081857668,0.776715250859827
0.000542005420054,0,0.247254521963824,0.05308734939759,0.026977427050835,0.009940357852883,0.003357958361316,0.010755348284159,0.028580793000486,0,0,0,0,0,0.169971671388102,0.140118246129661,0.043120693487442,0.070046893317702,0.000566973777463,0.211577013030404,0.64301250231256
0.001084010840108,0.001739130434783,0.208817829457364,0.046310240963856,0.035419342998715,0.019880715705765,0.006715916722633,0.046890579412129,0.047502256787723,0.098231827111984,0.10314875135722,0.046271510516252,0.030396119644301,0.003781075716041,0.019830028328612,0.010252554594853,0.043787508335186,0.131154747948417,0.000354358610914,0.014868025392583,0.453912182900652
0.004336043360434,0.001739130434783,0.219718992248062,0.053840361445783,0.047531657184805,0.10934393638171,0.083781061114842,0.010683704016552,0.025193250468718,0,0,0,0,0.00094526892901,0.036756373937677,0.025904787942996,0.210291175816848,0.163357268464244,0.000708717221828,0.057718008686936,0.684558340038829
0.014634146341464,0.060869565217391,0.065649224806202,0.022213855421687,0.013947513305194,0.059642147117296,0.016789791806582,0.012517559772496,0.021456843274773,0.007367387033399,0.007600434310532,0.019158699808795,0.012312045270817,0,0.007082152974504,0.003417518198284,0.113136252500556,0.131271981242673,0,0.014700968927498,0.487408751395895
0.001084010840108,0,0.026082041343669,0.006965361445783,0.002202238942925,0.099403578528827,0.033579583613163,0.036542534726689,0.031335601694327,0,0,0,0,0,0.014164305949009,0.012303065513824,0.219159813291843,0.120017584994138,7.0871722182849E-05,0.651436685599733,0.832376286396351
